OWNERID,NAME,Parent Event,Event Start Date,Event End Date,Cut Off Date,Venue,Display TItle(en),Display Title(zh),Maximum Registration #,Event Manager,Send SMS Confirmation
005BV000000IfqxYAC,1C2NA-20241,a6zA20000000MlJIAU,2024-04-17T03:00:00.000Z,2024-04-30T03:00:00.000Z,2024-04-30T03:00:00.000Z,a74A20000000HgnIAE,2024年5月14日 (11:00-14:00),2024年5月14日 (11:00-14:00),4,005BV000000IgwmYAC,TRUE
005BV000000IfqxYAC,1C2NA-20242,a6zA20000000MlJIAU,2024-04-17T03:00:00.000Z,2024-04-30T03:00:00.000Z,2024-04-30T03:00:00.000Z,a74A20000000HgnIAE,2024年5月14日 (14:00-17:00),2024年5月14日 (14:00-17:00),8,005BV000000IgwmYAC,TRUE
005BV000000IfqxYAC,1C2NA-20243,a6zA20000000MlJIAU,2024-04-17T03:00:00.000Z,2024-04-30T03:00:00.000Z,2024-04-30T03:00:00.000Z,a74A20000000HgnIAE,2024年5月14日 (17:00-20:00),2024年5月14日 (17:00-20:00),8,005BV000000IgwmYAC,TRUE
